car_model,car_class,car_type,body,capacity,manufacturer,price
Zhaba,Off-Road,Civilian vehicle,All-terrain vehicle,"4 (Driver, front passenger, 2 rear passengers)",RUNE,2400000
Apocalypse Cerberus,Commercial,Industial vehicle,Custom truck,2 (driver and passenger),MTL,3870300
Future Shock Cerberus,Commercial,Industrial vehicle,Custom truck,2 (driver and passenger),MTL,3870300
Nightmare Cerberus,Commercial,Industrial vehicle,Custom truck,2 (driver and passenger),MTL,3870300
Hauler Custom,Commercial,Custom truck,Armored cab-over semi-truck,2 (driver and passenger),Jobuilt,1400000
Mule Custom,Commercial,Industrial/Commercial vehicle,2-door box truck,"4 (driver, passenger and 2 passengers on side)",Maibatsu,95760
Phantom Custom,Commercial,Custom truck,Armored semi-truck,"5 (driver, cab passenger and three external passengers)",JoBuilt,1225000
Phantom Wedge,Commercial,Civilian truck,Custom semi-truck,"5 (driver, cab passenger and three external passengers)",Jobuilt,2553600
Pounder Custom,Commercial,Industrial/Commercial vehicle,Armored box truck,"8 (driver and passenger, and 4 hanging on sides)",MTL,320530
Dump,Industrial,Industrial vehicle,Off-road dump truck,1 (driver),HVY,1000000
Guardian,Industrial,Civilian truck,4-door pickup truck,6 (driver and five passengers),Vapid,375000
Bison,Vans,Civilian vehicle,Double-cab pickup truck,"6 (driver, three passengers and two truck bed passengers)",Bravado,30000
Bobcat XL,Vans,Civilian car,2-door pickup truck,2 (driver and passenger),Vapid,23000
Armored Boxville,Vans,Civilian vehicle,Custom armored van,"5 (driver, gunner and three passengers)",Brute,2926000
Minivan Custom,Vans,Civilian car,4-door minivan,4 (driver and three passengers),Vapid,330000
Paradise,Vans,Civilian van,Full size van,4 (driver and three passengers),Bravado,25000
Rumpo Custom,Vans,Civilian vehicle,Passenger van,4 (driver and three passengers),Bravado,130000
Surfer,Vans,Civilian van,4-door van,2 (driver and passenger),BF,11000
Youga,Vans,Civilian van,Full size van,2 (driver and passenger),Bravado,16000
Youga Classic,Vans,Civilian van,Full size van,4 (driver and three passengers),Bravado,195000
Youga Classic 4x4,Vans,Civilian vehicle,4-door custom van,4 (driver and three passengers),Bravado,1288000
Slamtruck,Utility,Civillian car,2-door car hauler,2 (driver and passenger),Vapid,1310000
